	movie	rating	release	age_10	age_6	age_3	age_1
4421	G.I. Jane	6.0	1997-08-22	38.779999999999994	43.15	46.56666666666666	34.8
4437	2010	6.6	1984-12-06	41.599999999999994	45.9	43.56666666666667	52.1
4442	The Brothers Grimm	5.6	2005-08-26	41.05	42.349999999999994	31.73333333333333	26.4
4464	Seabiscuit	6.8	2003-07-22	-1	45.65	58.63333333333333	53.7
4474	My Super Ex-Girlfriend	4.8	2006-06-20	-1	36.93333333333334	33.53333333333333	36.2
4476	Legends of the Fall	7.2	1994-12-16	-1	33.833333333333336	41.266666666666666	31.0
4477	The Devil's Own	5.9	1997-03-12	45.88	47.26666666666667	42.266666666666666	54.7
4478	Indecent Proposal	5.8	1993-04-07	46.38	41.333333333333336	39.6	56.7
4488	Friday the 13th	6.3	1980-05-09	-1	28.349999999999998	33.4	53.6
4512	The Assassination of Jesse James by the Coward Robert Ford	7.0	2007-09-02	36.86	41.833333333333336	46.56666666666667	43.7
4513	30 Days of Night	6.2	2007-10-17	-1	36.516666666666666	29.166666666666668	29.3
4515	Lions for Lambs	6.0	2007-10-22	-1	45.75	58.29999999999999	71.2
4517	Elizabeth: The Golden Age	6.6	2007-09-09	36.739999999999995	38.666666666666664	45.833333333333336	38.3
4518	Elizabeth	7.2	1998-09-13	45.7	51.51666666666667	37.06666666666666	29.4
4523	Enchanted	6.6	2007-11-20	-1	38.46666666666667	36.46666666666666	33.3
4538	The Darjeeling Limited	7.1	2007-09-29	-1	40.85	33.56666666666667	38.9
4543	The Meaning of Life	7.2	1983-03-31	39.82	41.55	42.73333333333333	42.4
4547	Panic Room	6.6	2002-03-29	39.94	35.699999999999996	30.7	39.4
4550	Sympathy for Lady Vengeance	7.4	2005-07-29	-1	38.06666666666667	35.63333333333333	43.3
4551	Be Cool	5.3	2005-03-04	39.940000000000005	41.45	40.333333333333336	51.1
4552	A Tale of Two Sisters	7.0	2003-06-13	-1	-1	23.633333333333336	23.9
4553	The Machinist	7.4	2004-02-09	-1	39.86666666666667	35.766666666666666	30.0
4564	Sex and the City	6.0	2008-05-12	43.309999999999995	46.35	45.699999999999996	43.2
4566	Michael Clayton	6.6	2007-09-28	-1	54.083333333333336	51.0	46.4
4584	Sense and Sensibility	7.2	1995-12-13	40.099999999999994	37.449999999999996	30.733333333333334	20.2
4597	Armored	5.5	2009-12-04	-1	43.61666666666667	38.5	27.2
4599	Raising Helen	5.8	2004-05-27	33.36	24.13333333333333	36.63333333333333	25.1
4614	The Sum of All Fears	5.9	2002-05-31	51.58	50.93333333333333	52.4	29.8
4638	Hot Fuzz	7.4	2007-02-14	42.87	38.766666666666666	43.23333333333333	37.0
4643	The Guardian	6.8	2006-09-28	34.71	40.56666666666667	43.53333333333334	51.7
4688	Across the Universe	7.2	2007-09-14	-1	-1	24.96666666666667	20.0
4689	Sympathy for Mr. Vengeance	7.3	2002-03-29	-1	26.683333333333334	28.5	35.2
4771	Gone Baby Gone	7.2	2007-10-19	46.190000000000005	48.11666666666667	44.73333333333334	32.2
4787	Cassandra's Dream	6.2	2007-06-18	-1	39.50000000000001	30.83333333333334	31.1
4806	Runaway Bride	5.8	1999-07-30	44.290000000000006	43.71666666666667	39.5	31.8
4808	Charade	7.7	1963-12-05	-1	44.916666666666664	45.9	59.9
4816	Ghost Dog: The Way of the Samurai	7.2	1999-09-13	-1	54.96666666666667	42.699999999999996	38.2
4824	The Jackal	6.0	1997-11-14	-1	46.35	53.9	42.7
4836	Layer Cake	7.0	2004-09-30	41.55	43.050000000000004	38.36666666666667	36.6
4858	The Invasion	5.7	2007-08-17	-1	39.48333333333334	41.800000000000004	40.2
4912	Confessions of a Dangerous Mind	6.6	2002-12-30	37.43000000000001	37.93333333333334	32.43333333333334	34.2
4922	The Curious Case of Benjamin Button	7.3	2008-11-24	36.08	33.48333333333333	44.23333333333333	39.6
4929	Hang 'em High	6.7	1968-07-31	46.29	44.31666666666666	46.46666666666667	38.2
4935	Howl's Moving Castle	8.2	2004-11-19	-1	41.85	37.9	32.0
4944	Burn After Reading	6.5	2008-09-05	51.71	51.23333333333334	47.76666666666667	47.4
4951	10 Things I Hate About You	7.3	1999-03-30	24.580000000000002	19.166666666666668	18.7	20.0
4953	Be Kind Rewind	6.2	2008-01-20	-1	39.35	44.666666666666664	38.4
4958	The Legend of Bagger Vance	6.4	2000-11-02	-1	34.06666666666667	35.233333333333334	30.1
4959	The International	6.0	2009-02-03	-1	47.85	54.333333333333336	44.4
4960	Synecdoche, New York	7.4	2008-10-24	-1	39.833333333333336	39.833333333333336	41.3
4961	Mimic	5.7	1997-08-22	-1	42.449999999999996	40.23333333333333	29.9
4964	Knocked Up	6.1	2007-06-01	-1	29.933333333333334	29.600000000000005	25.1
4970	Gothika	5.8	2003-11-21	-1	42.949999999999996	42.93333333333334	37.3
4977	Paprika	7.7	2006-10-01	-1	45.48333333333333	46.0	39.5
4978	An American Tail	6.6	1986-11-21	-1	48.25	42.93333333333334	8.1
4982	American Gangster	7.4	2007-11-02	-1	41.11666666666667	42.266666666666666	52.9
4995	Boogie Nights	7.5	1997-09-11	36.480000000000004	35.53333333333333	40.06666666666667	26.3
5038	Vicky Cristina Barcelona	6.7	2008-08-15	-1	33.449999999999996	29.833333333333332	23.7
5123	August Rush	7.1	2007-11-21	40.220000000000006	38.416666666666664	25.933333333333334	15.8
5125	Rendition	6.3	2007-09-07	-1	41.849999999999994	30.333333333333332	32.8
5137	Sky Captain and the World of Tomorrow	5.7	2004-09-17	49.39	37.46666666666667	31.166666666666668	31.7
5143	Hannah and Her Sisters	7.6	1986-02-07	49.309999999999995	49.166666666666664	48.03333333333333	50.2
5156	Bicycle Thieves	8.1	1948-11-24	-1	-1	23.3	39.3
5174	Rush Hour 3	6.1	2007-08-08	48.93	55.050000000000004	45.1	35.0
5175	Rush Hour 2	6.4	2001-08-03	40.2	32.25	32.93333333333333	28.9
5176	3:10 to Yuma	7.0	2007-09-06	-1	38.73333333333333	30.866666666666664	43.4
5236	Kiss Kiss Bang Bang	7.2	2005-09-05	-1	41.63333333333333	38.53333333333333	40.4
5255	The Polar Express	6.5	2004-11-10	-1	43.75	43.599999999999994	48.4
5279	Gosford Park	6.8	2001-11-07	46.470000000000006	46.050000000000004	53.43333333333334	56.3
5289	Chaos	6.1	2005-01-17	-1	37.86666666666667	36.800000000000004	37.5
5336	Salò, or the 120 Days of Sodom	6.4	1975-11-22	-1	-1	44.333333333333336	36.8
5375	Fred Claus	5.4	2007-11-03	43.589999999999996	44.93333333333333	40.93333333333333	37.6
5491	Battlefield Earth	3.0	2000-05-10	-1	39.21666666666667	38.4	46.3
5503	The Fugitive	7.2	1993-08-06	-1	42.833333333333336	45.03333333333333	51.1
5511	Le Samouraï	8.0	1967-10-25	-1	32.35	35.4	32.0
5516	The Ladykillers	6.0	2004-03-25	43.61	44.51666666666667	49.43333333333334	47.7
5528	The Chorus	7.5	2004-03-17	-1	43.050000000000004	48.26666666666667	52.9
5548	RoboCop	7.1	1987-07-17	-1	40.45	42.06666666666667	40.1
5549	RoboCop 2	5.7	1990-06-22	-1	46.38333333333333	40.733333333333334	43.0
5550	RoboCop 3	4.3	1993-04-17	-1	44.883333333333326	44.46666666666667	32.6
5551	Space Cowboys	6.3	2000-07-31	55.9	60.53333333333334	63.06666666666666	70.2
5559	Bee Movie	5.7	2007-10-28	50.769999999999996	48.5	49.0	53.5
5683	Pee-wee's Big Adventure	6.6	1985-07-26	-1	36.13333333333333	27.8	32.9
5689	The Blue Lagoon	5.8	1980-07-05	-1	-1	31.599999999999998	15.1
5708	Control	7.5	2007-09-26	-1	28.216666666666665	29.0	27.7
5723	Once	7.4	2007-03-23	-1	-1	-1	36.9
5820	The Sentinel	5.8	2006-04-19	49.2	45.333333333333336	44.03333333333333	61.6
5825	National Lampoon's Christmas Vacation	7.2	1989-12-01	-1	38.199999999999996	41.16666666666667	46.2
5851	Showtime	5.3	2002-03-14	-1	-1	44.6	58.6
5876	The Mist	6.7	2007-11-21	44.32000000000001	44.88333333333333	41.699999999999996	38.8
5902	A Bridge Too Far	6.9	1977-06-15	46.98	43.93333333333334	45.93333333333334	56.3
5915	Into the Wild	7.8	2007-09-11	-1	39.483333333333334	42.699999999999996	22.5
5919	The Towering Inferno	7.1	1974-12-14	45.33	47.86666666666667	50.46666666666666	44.8
5924	Papillon	7.8	1973-12-13	-1	47.86666666666667	50.43333333333333	43.8
5925	The Great Escape	7.8	1963-06-20	38.300000000000004	39.96666666666667	36.1	33.3
5955	The Pledge	6.5	2001-01-09	50.6	51.36666666666667	50.73333333333333	63.8
5966	Along Came Polly	5.8	2004-01-16	45.019999999999996	38.449999999999996	36.56666666666667	38.2
5994	The Family Man	6.5	2000-12-12	-1	32.35	35.96666666666667	37.0
6023	P.S. I Love You	7.0	2007-11-15	-1	40.483333333333334	38.53333333333333	33.3
6038	Shanghai Knights	6.0	2003-02-06	-1	33.699999999999996	38.36666666666667	48.9
6068	Six Days Seven Nights	5.6	1998-06-12	-1	37.416666666666664	38.9	56.0
6069	The Witches of Eastwick	6.3	1987-06-12	-1	39.9	44.0	50.2
6073	The Mexican	5.8	2001-03-01	-1	47.166666666666664	36.699999999999996	37.2
6075	Carlito's Way	7.7	1993-11-10	35.45	34.800000000000004	38.9	53.6
6114	Dracula	7.1	1992-11-13	37.1	33.65	36.9	34.7
6145	Fracture	7.2	2007-04-20	44.07	44.06666666666666	51.36666666666667	69.3
6171	Dreamcatcher	5.2	2003-03-21	-1	40.18333333333334	44.26666666666667	65.8
6278	Reign of Fire	6.0	2002-07-12	-1	-1	31.100000000000005	28.5
6279	Sister Act 2: Back in the Habit	6.0	1993-12-09	49.89	57.26666666666667	46.76666666666667	38.1
6280	Junior	4.7	1994-11-22	-1	44.61666666666667	44.300000000000004	47.3
6282	Coyote Ugly	5.9	2000-07-30	32.709999999999994	29.766666666666662	33.03333333333333	23.8
6283	MouseHunt	6.2	1997-12-19	-1	48.166666666666664	37.83333333333333	41.9
6312	Brotherhood of the Wolf	6.6	2001-01-31	41.74	30.400000000000002	29.633333333333336	35.3
6415	Three Kings	6.6	1999-09-27	33.89	34.266666666666666	32.333333333333336	38.4
6418	Hotel Chevalier	7.0	2007-09-03	-1	-1	28.766666666666666	27.2
6435	Practical Magic	6.4	1998-10-16	-1	34.666666666666664	25.53333333333333	34.2
6466	Freddy vs. Jason	5.8	2003-08-15	29.049999999999994	34.61666666666667	41.166666666666664	56.2
6471	The Jerk	7.0	1979-12-14	44.81	41.5	31.8	34.4
6477	Alvin and the Chipmunks	5.5	2007-12-13	-1	35.75	36.56666666666667	37.7
6479	I Am Legend	6.9	2007-12-14	-1	28.21666666666667	24.46666666666667	39.2
6488	Arachnophobia	6.2	1990-08-09	-1	30.03333333333333	26.566666666666663	35.5
6519	The Dukes of Hazzard	5.1	2005-08-05	41.93	47.96666666666667	29.46666666666667	34.4
6520	First Knight	5.9	1995-07-07	-1	42.98333333333333	47.1	64.9
6537	The Orphanage	7.1	2007-08-27	-1	-1	45.70000000000001	42.5
6538	Charlie Wilson's War	6.5	2007-12-19	41.68	41.966666666666676	44.03333333333334	51.5
6557	27 Dresses	6.2	2008-01-10	33.64	34.36666666666667	31.03333333333333	29.1
6575	Walk Hard: The Dewey Cox Story	6.5	2007-12-21	45.690000000000005	48.26666666666667	41.1	42.6
6615	Lars and the Real Girl	7.1	2007-10-12	-1	31.73333333333333	31.46666666666667	26.9
6620	Sabrina	7.5	1954-09-28	47.089999999999996	45.61666666666667	38.9	54.8
6623	The Peacemaker	5.7	1997-09-26	-1	40.56666666666667	37.63333333333333	36.4
6637	National Treasure: Book of Secrets	6.1	2007-12-13	52.36999999999999	49.91666666666666	60.53333333333333	44.0
6687	Transsiberian	6.5	2008-01-18	-1	41.93333333333333	35.86666666666667	46.5
6691	Priceless	6.4	2006-12-13	-1	47.5	40.8	35.7
6795	Zathura: A Space Adventure	6.1	2005-11-06	-1	29.5	17.599999999999998	8.8
6844	The Ten Commandments	7.5	1956-10-05	39.33	37.13333333333333	34.23333333333333	33.0
6877	Failure to Launch	5.5	2006-03-10	-1	36.68333333333333	34.53333333333334	36.4
6878	Homeward Bound: The Incredible Journey	6.6	1993-02-03	-1	-1	54.23333333333333	31.7
6947	The Village	6.2	2004-07-30	-1	40.516666666666666	28.166666666666668	23.4
6950	Outbreak	6.3	1995-03-10	-1	46.5	52.166666666666664	57.6
6951	Turner & Hooch	5.9	1989-07-28	-1	43.01666666666666	36.199999999999996	33.1
6957	The 40 Year Old Virgin	6.2	2005-08-11	34.13	38.50000000000001	41.93333333333334	43.0
6961	The Wedding Date	6.2	2005-02-04	-1	39.6	36.1	36.5
6963	The Weather Man	6.1	2005-10-20	-1	38.36666666666667	52.03333333333333	41.8
6964	Something's Gotta Give	6.4	2003-12-12	-1	46.6	54.666666666666664	66.7
6972	Australia	6.3	2008-11-18	-1	46.583333333333336	39.833333333333336	41.4
6973	In the Valley of Elah	6.6	2007-08-31	39.86	44.0	51.333333333333336	61.0
6977	No Country for Old Men	7.8	2007-11-08	-1	43.449999999999996	46.56666666666666	61.2
6978	Big Trouble in Little China	7.1	1986-05-30	-1	40.666666666666664	33.03333333333333	35.2
7095	Jack	5.9	1996-08-09	-1	41.43333333333333	41.166666666666664	45.1
7131	Van Helsing	6.0	2004-05-05	36.540000000000006	35.56666666666667	36.26666666666667	35.6
7183	Perfect Stranger	5.5	2007-04-12	-1	43.833333333333336	41.7	40.7
7191	Cloverfield	6.4	2008-01-15	-1	25.183333333333334	23.533333333333335	25.6
7211	Dan in Real Life	6.6	2007-10-26	36.62	46.03333333333333	41.5	45.2
7214	Coach Carter	7.3	2005-01-14	-1	29.63333333333333	33.0	56.1
7220	The Punisher	6.1	2004-04-15	-1	45.06666666666666	45.1	35.2
7249	Futurama: Bender's Big Score	7.4	2008-03-05	-1	51.53333333333334	52.46666666666667	39.5
7270	Matchstick Men	6.9	2003-09-01	43.279999999999994	43.583333333333336	32.833333333333336	39.7
7278	Meet the Spartans	3.7	2008-01-24	-1	41.583333333333336	40.73333333333333	31.8
7288	Duplex	5.9	2003-09-26	44.85000000000001	44.71666666666667	49.13333333333333	37.8
7299	Equilibrium	6.9	2002-12-06	36.65	35.4	32.23333333333333	28.9
7303	Maid in Manhattan	5.6	2002-12-13	-1	35.9	37.666666666666664	33.4
7304	Running Scared	7.0	2006-01-06	34.71999999999999	35.15	25.899999999999995	32.3
7305	Alive	6.7	1993-01-15	26.97	25.399999999999995	25.366666666666664	22.2
7326	Juno	7.0	2007-12-05	-1	35.983333333333334	25.333333333333332	20.8
7340	Carrie	7.0	1976-11-03	33.22	29.400000000000002	31.63333333333333	26.9
7345	There Will Be Blood	7.9	2007-12-28	-1	47.21666666666666	43.03333333333333	50.7
7347	Elite Squad	7.8	2007-10-12	-1	30.3	29.333333333333332	31.3
7350	The Bucket List	7.0	2007-12-25	-1	55.650000000000006	59.6	70.7
7364	Sahara	5.7	2005-04-06	43.129999999999995	40.85	34.6	35.4
7442	Sleeping with the Enemy	6.2	1991-02-08	40.879999999999995	39.3	31.46666666666667	23.3
7443	Chicken Run	6.5	2000-06-21	43.849999999999994	42.11666666666667	43.36666666666667	44.5
7445	Brothers	6.8	2009-01-27	30.859999999999996	35.61666666666667	29.8	33.6
7446	Tropic Thunder	6.5	2008-08-09	39.41	46.916666666666664	42.6	42.7
7450	Titan A.E.	6.3	2000-06-16	-1	36.25	33.833333333333336	29.7
7451	xXx	5.8	2002-08-09	-1	39.8	38.56666666666667	35.1
7453	The Hitchhiker's Guide to the Galaxy	6.6	2005-04-28	38.05	39.68333333333334	31.833333333333332	33.7
7457	Alpha Dog	6.6	2006-01-27	34.419999999999995	32.53333333333333	38.4	50.9
7459	Speed Racer	5.7	2008-05-09	-1	39.93333333333334	31.099999999999998	23.2
7461	Vantage Point	6.2	2008-02-01	42.660000000000004	49.5	47.36666666666667	53.9
7484	Open Season	6.0	2006-09-29	46.69	47.0	40.6	41.5
7485	Shooter	6.9	2007-03-22	41.230000000000004	38.083333333333336	42.56666666666667	35.8
7508	Taare Zameen Par	7.6	2007-12-21	-1	-1	-1	42.8
7512	Idiocracy	6.3	2006-09-01	-1	-1	33.6	35.0
7516	Smokin' Aces	6.4	2006-12-09	47.81	56.949999999999996	54.93333333333334	30.1
7518	Over the Hedge	6.3	2006-04-22	53.769999999999996	55.61666666666667	50.4	51.1
7520	Cocktail	5.7	1988-07-29	-1	30.13333333333333	30.666666666666668	26.1
7549	Fearless	7.3	2006-01-26	-1	-1	33.199999999999996	42.8
7551	Déjà Vu	6.6	2006-11-22	-1	38.88333333333333	43.26666666666667	51.9
7552	Fun with Dick and Jane	5.9	2005-12-21	-1	44.43333333333334	43.86666666666667	44.0
7553	Waiting...	6.2	2005-10-07	32.82	36.949999999999996	28.433333333333334	29.0
7555	Rambo	6.3	2008-01-24	-1	46.050000000000004	44.1	61.6
7735	The Wave	7.5	2008-03-11	25.37	27.650000000000002	27.566666666666666	39.9
7737	Resident Evil: Extinction	6.1	2007-09-20	34.35	35.06666666666667	33.4	31.8
7840	10,000 BC	5.1	2008-02-22	-1	28.216666666666665	27.633333333333336	21.9
7859	Half Nelson	6.6	2006-08-11	-1	-1	20.000000000000004	25.8
7873	Harsh Times	6.3	2005-09-11	-1	-1	30.933333333333334	31.6
7874	Black Snake Moan	6.6	2006-12-08	-1	42.76666666666666	36.9	58.0
7942	Run, Fatboy, Run	6.2	2007-09-06	-1	38.13333333333333	38.63333333333333	37.6
7972	Before the Devil Knows You're Dead	6.9	2007-09-26	-1	41.916666666666664	49.5	40.2
7978	The Wolfman	5.5	2010-02-11	-1	43.71666666666666	47.4	43.0
7979	The Kite Runner	7.3	2007-10-14	-1	-1	27.299999999999997	26.0
7980	The Lovely Bones	6.6	2009-12-26	-1	41.73333333333333	47.23333333333333	39.8
7984	In the Name of the Father	7.7	1993-12-12	-1	39.63333333333333	40.06666666666667	36.6
7985	Penelope	6.5	2006-03-01	-1	36.766666666666666	35.0	26.1
8005	Robin Hood: Men in Tights	6.4	1993-07-28	40.32	40.75	46.699999999999996	30.8
8007	Behind Enemy Lines	6.0	2001-11-17	39.519999999999996	43.11666666666667	44.86666666666667	33.0
8009	Highlander	6.8	1986-03-07	40.089999999999996	39.0	29.933333333333334	29.0
8010	Highlander II: The Quickening	4.5	1991-01-30	-1	37.46666666666667	41.26666666666667	33.9
8012	Get Shorty	6.3	1995-10-20	-1	49.133333333333326	49.73333333333333	41.7
8051	Punch-Drunk Love	6.9	2002-10-25	-1	37.93333333333334	35.766666666666666	36.2
8054	The Imaginarium of Doctor Parnassus	6.3	2009-10-01	40.599999999999994	42.166666666666664	52.23333333333333	79.9
8055	The Reader	7.3	2008-12-10	36.980000000000004	43.166666666666664	32.53333333333333	33.2
8065	21	6.5	2008-03-27	34.910000000000004	31.233333333333334	34.6	29.9
8066	Stay	6.5	2005-09-24	42.989999999999995	39.63333333333333	32.13333333333333	34.5
8068	Desperado	6.8	1995-08-25	-1	33.86666666666667	34.199999999999996	35.1
8077	Alien³	6.2	1992-05-22	42.11	40.71666666666667	43.166666666666664	42.6
8078	Alien: Resurrection	5.9	1997-11-12	41.39	40.03333333333334	40.63333333333333	48.1
8090	Untraceable	5.9	2008-01-22	-1	34.333333333333336	38.13333333333333	43.0
8092	This Boy’s Life	7.1	1993-04-09	-1	29.899999999999995	35.699999999999996	49.7
8193	Napoleon Dynamite	6.7	2004-06-11	32.13000000000001	30.8	33.86666666666667	26.6
8195	Ronin	6.8	1998-09-25	-1	45.38333333333333	44.70000000000001	55.1
8202	Æon Flux	5.4	2005-11-30	37.53	41.51666666666667	34.26666666666667	30.3
8204	The Spiderwick Chronicles	6.3	2008-02-14	-1	44.54999999999999	42.23333333333333	16.0
8224	8MM	6.1	1999-02-26	-1	38.233333333333334	32.333333333333336	35.2
8247	Jumper	5.9	2008-02-10	33.64999999999999	38.4	35.96666666666667	26.8
8265	Welcome to the Sticks	6.7	2008-01-09	-1	40.63333333333333	39.03333333333334	43.8
8270	The Lookout	6.6	2007-03-09	-1	38.43333333333334	35.733333333333334	26.1
8271	Disturbia	6.6	2007-04-12	-1	32.1	27.700000000000003	20.8
8273	American Wedding	6.0	2003-08-01	37.629999999999995	25.48333333333333	27.13333333333333	25.2
8274	American Pie Presents: Band Camp	5.2	2005-10-30	-1	29.766666666666662	34.56666666666667	58.9
8275	American Pie Presents: The Naked Mile	5.2	2006-12-07	-1	36.23333333333334	45.76666666666667	51.8
8277	American Pie Presents: Beta House	5.3	2007-12-10	29.850000000000005	34.949999999999996	35.23333333333333	26.5
8285	The Spirit	4.7	2008-12-25	39.699999999999996	36.449999999999996	40.4	37.0
8290	Don't Look Now: We're Being Shot At	7.8	1966-12-07	47.730000000000004	41.43333333333333	52.4	49.4
8292	Four Brothers	6.6	2005-08-11	34.21	30.383333333333336	30.333333333333332	34.2
8321	In Bruges	7.4	2008-02-08	-1	37.06666666666667	43.26666666666667	31.7
8326	Holes	6.7	2003-04-18	-1	37.166666666666664	52.300000000000004	53.6
8328	Step Up 2: The Streets	6.5	2008-02-14	24.070000000000004	23.11666666666667	26.433333333333337	21.3
8329	[REC]	7.1	2007-04-10	-1	-1	49.43333333333334	31.5
8337	They Live	7.1	1988-11-23	-1	43.666666666666664	35.9	34.6
8338	Blindness	6.4	2008-05-14	-1	39.416666666666664	37.699999999999996	47.5
8346	My Big Fat Greek Wedding	6.2	2002-02-22	-1	49.50000000000001	47.333333333333336	39.4
8355	Ice Age: Dawn of the Dinosaurs	6.5	2009-06-29	41.17999999999999	42.31666666666667	49.5	51.6
8358	Cast Away	7.5	2000-12-22	-1	-1	42.699999999999996	44.5
8363	Superbad	7.0	2007-08-17	25.56	23.099999999999998	20.366666666666664	23.7
8367	Robin Hood: Prince of Thieves	6.6	1991-06-14	41.92999999999999	41.55	37.43333333333333	36.4
8373	Transformers: Revenge of the Fallen	6.0	2009-06-19	36.38	34.800000000000004	27.53333333333333	23.0
8374	The Boondock Saints	7.2	1999-01-22	-1	42.88333333333333	35.63333333333333	43.5
8386	How High	6.4	2001-12-21	-1	43.28333333333333	37.5	30.7
8388	¡Three Amigos!	6.2	1986-12-12	-1	39.083333333333336	40.43333333333333	43.2
8390	Definitely, Maybe	6.7	2008-02-08	35.36	34.56666666666666	25.7	31.3
8392	My Neighbor Totoro	8.0	1988-04-16	-1	-1	32.93333333333334	25.9
8393	The Gods Must Be Crazy	7.1	1980-09-10	-1	-1	34.800000000000004	35.8
8398	The Hitcher	5.6	2007-01-19	-1	-1	33.56666666666667	47.8
8408	Day of the Dead	6.9	1985-07-19	-1	39.166666666666664	39.86666666666667	42.4
8409	A Man Apart	5.7	2003-04-04	-1	40.78333333333333	32.733333333333334	35.7
8413	Event Horizon	6.5	1997-08-15	-1	35.79999999999999	42.96666666666666	36.1
8424	Love Me If You Dare	7.4	2003-09-17	-1	22.75	23.266666666666666	30.5
8427	I Spy	5.2	2002-10-31	-1	36.550000000000004	37.86666666666667	41.6
8452	The 6th Day	5.8	2000-11-17	38.71	44.63333333333333	41.5	53.3
8456	Never Back Down	6.5	2008-03-04	-1	30.233333333333334	24.5	26.0
8457	Drillbit Taylor	5.5	2008-03-20	-1	24.866666666666664	32.26666666666667	39.4
8461	Funny Games	6.4	2007-10-20	-1	33.05	37.36666666666667	39.1
8467	Dumb and Dumber	6.5	1994-12-16	35.38	38.65	34.63333333333333	32.9
8469	Animal House	7.0	1978-07-27	33.379999999999995	37.11666666666667	35.53333333333333	29.5
8470	John Q	7.0	2002-02-15	-1	42.166666666666664	50.4	47.2
8487	Wild Wild West	5.1	1999-06-29	-1	43.38333333333333	40.36666666666667	30.8
8488	Hitch	6.3	2005-02-10	-1	36.63333333333333	35.733333333333334	36.4
8489	Ali	6.7	2001-12-11	40.43000000000001	44.43333333333334	43.4	33.2
8491	Weekend at Bernie's	6.4	1989-07-05	-1	-1	26.566666666666666	26.6
8536	Superman II	6.5	1980-12-04	41.85	40.166666666666664	40.833333333333336	50.9
8584	Shanghai Noon	6.2	2000-05-26	-1	39.15	36.4	46.2
8587	The Lion King	8.0	1994-06-23	38.35999999999999	32.38333333333333	36.199999999999996	12.8
8592	Dick Tracy	6.0	1990-06-15	44.059999999999995	39.233333333333334	45.1	53.2
8619	Master and Commander: The Far Side of the World	6.9	2003-11-14	-1	32.4	33.43333333333333	39.6
8643	The Exorcism of Emily Rose	6.3	2005-09-09	-1	48.28333333333334	47.800000000000004	41.6
8645	The Happening	4.9	2008-06-11	-1	33.050000000000004	36.43333333333334	37.0
8649	Bringing Out the Dead	6.6	1999-10-22	-1	37.38333333333333	38.26666666666667	35.8
8656	Deep Impact	5.9	1998-05-08	45.33	51.11666666666667	38.96666666666667	67.4
8665	K-19: The Widowmaker	6.1	2002-07-19	47.89000000000001	55.96666666666667	47.199999999999996	60.1
8669	Charlie Bartlett	6.5	2008-02-22	-1	28.533333333333335	35.266666666666666	19.0
8676	Fool's Gold	5.4	2008-02-07	40.86	37.99999999999999	46.56666666666666	38.3
8681	Taken	7.2	2008-02-18	40.81	36.93333333333334	41.13333333333333	55.7
8688	Snake Eyes	5.8	1998-08-07	42.769999999999996	40.666666666666664	43.833333333333336	34.6
8689	Cannibal Holocaust	5.8	1980-02-07	-1	-1	31.666666666666668	32.2
8698	The League of Extraordinary Gentlemen	5.7	2003-07-11	39.81000000000001	38.61666666666667	43.56666666666667	72.9
8699	Anchorman: The Legend of Ron Burgundy	6.7	2004-07-09	39.67	42.266666666666666	34.96666666666666	37.0
8741	The Thin Red Line	7.2	1998-12-25	35.97	32.166666666666664	31.466666666666665	38.4
8764	Top Secret!	7.0	1984-06-08	-1	38.916666666666664	41.03333333333333	24.5
8769	Christine	6.5	1983-12-08	36.1	35.21666666666667	22.0	22.9
8780	Baby Mama	5.8	2008-04-23	43.61	45.68333333333334	35.96666666666666	38.0
8810	Mad Max 2: The Road Warrior	7.3	1981-12-24	-1	35.583333333333336	35.300000000000004	26.0
8814	Doom	5.0	2005-10-20	-1	34.7	31.200000000000003	33.5
8827	99 francs	6.5	2007-09-25	-1	33.1	33.03333333333333	35.3
8831	Timecop	5.5	1994-09-15	-1	35.900000000000006	36.46666666666667	33.9
8834	Conspiracy Theory	6.5	1997-08-07	-1	47.0	42.833333333333336	41.6
8835	Legally Blonde	6.2	2001-07-13	33.470000000000006	33.28333333333334	28.066666666666666	25.3
8836	The X Files: I Want to Believe	5.5	2008-07-24	46.809999999999995	46.75	41.53333333333333	48.0
8838	Mercury Rising	6.0	1998-04-03	-1	33.283333333333324	31.73333333333333	43.1
8839	Casper	6.0	1995-05-26	-1	36.949999999999996	30.433333333333334	15.3
8840	DragonHeart	6.4	1996-05-31	45.87	45.86666666666667	42.233333333333334	42.2
8843	The Cell	6.0	2000-08-17	36.230000000000004	37.03333333333334	34.23333333333334	31.1
8844	Jumanji	6.9	1995-12-15	29.51	31.683333333333334	35.199999999999996	44.4
8845	Under Siege	6.0	1992-10-08	43.18999999999999	41.99999999999999	44.96666666666666	40.5
8848	The Bank Job	6.6	2008-02-28	-1	38.949999999999996	34.766666666666666	40.6
8849	Alfie	5.6	2004-10-22	-1	38.916666666666664	34.333333333333336	31.8
8852	Prince of Darkness	6.7	1987-10-23	-1	45.51666666666666	52.9	68.1
8856	The Karate Kid, Part II	5.9	1986-06-18	-1	36.06666666666666	39.3	24.6
8859	Dude, Where’s My Car?	5.2	2000-12-15	-1	26.766666666666666	26.03333333333333	22.9
8869	Eight Legged Freaks	5.4	2002-07-17	35.64	29.899999999999995	27.066666666666663	30.9
8870	Red Planet	5.4	2000-11-10	-1	40.6	37.0	40.9
8871	How the Grinch Stole Christmas	6.2	2000-11-17	39.39	39.666666666666664	34.199999999999996	38.9
