	movie	rating	release	age_10	age_6	age_3	age_1
123	The Lord of the Rings	6.2	1978-11-15	-1	38.65	42.13333333333333	25.0
128	Princess Mononoke	8.2	1997-07-12	-1	-1	36.76666666666667	27.8
129	Spirited Away	8.3	2001-07-20	-1	36.949999999999996	43.73333333333333	14.0
134	O Brother, Where Art Thou?	7.3	2000-08-30	-1	41.28333333333334	39.699999999999996	39.3
136	Freaks	7.7	1932-02-20	-1	31.900000000000002	30.400000000000002	30.9
137	Groundhog Day	7.4	1993-02-11	40.5	43.666666666666664	36.63333333333333	42.4
138	Dracula	7.1	1931-02-12	-1	40.21666666666666	34.699999999999996	48.3
140	Bad Education	7.1	2004-03-19	-1	37.25000000000001	32.43333333333334	25.3
141	Donnie Darko	7.7	2001-01-18	32.62	30.883333333333336	28.266666666666666	20.1
142	Brokeback Mountain	7.5	2005-09-02	-1	30.683333333333334	35.36666666666667	26.4
144	Wings of Desire	7.5	1987-01-01	-1	49.71666666666667	38.96666666666667	45.8
145	Breaking the Waves	7.2	1996-05-13	-1	40.43333333333333	36.4	29.3
146	Crouching Tiger, Hidden Dragon	7.2	2000-10-01	-1	42.333333333333336	35.1	45.4
147	The 400 Blows	8.0	1959-05-04	-1	-1	31.03333333333333	14.9
149	Akira	7.8	1988-07-16	-1	32.03333333333333	25.333333333333332	21.0
150	48 Hrs.	6.5	1982-12-07	34.04	32.61666666666667	31.433333333333334	41.9
152	Star Trek: The Motion Picture	6.2	1979-12-06	46.13	50.51666666666667	52.43333333333334	48.7
153	Lost in Translation	7.3	2003-08-31	-1	42.96666666666667	32.86666666666667	53.0
154	Star Trek II: The Wrath of Khan	7.3	1982-06-03	49.43	53.0	54.93333333333334	51.2
155	The Dark Knight	8.3	2008-07-16	-1	43.45000000000001	46.400000000000006	34.5
157	Star Trek III: The Search for Spock	6.4	1984-05-31	47.980000000000004	54.98333333333334	56.93333333333334	53.2
161	Ocean's Eleven	7.2	2001-12-07	42.85	35.983333333333334	36.6	40.6
162	Edward Scissorhands	7.6	1990-12-05	38.74999999999999	41.38333333333333	29.76666666666667	27.5
163	Ocean's Twelve	6.4	2004-12-09	37.25000000000001	39.150000000000006	39.93333333333333	43.6
164	Breakfast at Tiffany's	7.6	1961-10-05	42.160000000000004	39.70000000000001	33.7	32.4
165	Back to the Future Part II	7.5	1989-11-20	31.23	37.31666666666666	36.03333333333333	28.5
166	The Party	6.4	1980-01-01	-1	40.31666666666667	30.099999999999998	43.6
167	K-PAX	7.2	2001-10-22	42.309999999999995	38.9	42.3	51.9
168	Star Trek IV: The Voyage Home	6.9	1986-11-25	57.260000000000005	57.48333333333334	59.43333333333334	55.7
169	Predator 2	6.0	1990-11-20	41.1	39.61666666666667	42.13333333333333	35.6
170	28 Days Later	7.1	2002-10-31	-1	-1	26.96666666666667	26.5
172	Star Trek V: The Final Frontier	5.6	1989-06-09	58.209999999999994	60.03333333333333	61.96666666666667	58.3
174	Star Trek VI: The Undiscovered Country	6.7	1991-12-05	58.17999999999999	62.51666666666667	64.43333333333334	60.7
175	The Big Blue	7.6	1988-05-11	38.5	40.38333333333333	32.06666666666667	27.6
176	Saw	7.2	2004-10-01	-1	46.75	44.5	42.0
177	The Fisher King	7.3	1991-09-09	-1	38.05	41.86666666666667	41.8
179	The Interpreter	6.2	2005-04-08	52.21	52.25	42.86666666666667	37.8
180	Minority Report	7.1	2002-06-20	43.71	47.48333333333333	30.399999999999995	40.0
184	Jackie Brown	7.3	1997-12-24	43.18	48.11666666666667	51.36666666666667	48.6
